County,DATE,PRCP
Bay County,8/5/2020,0
Bay County,8/6/2020,0
Bay County,8/7/2020,0.56
Bay County,8/8/2020,0
Bay County,8/9/2020,0.01
Bay County,8/10/2020,0.42
Bay County,8/11/2020,1.1
Bay County,8/12/2020,0
Bay County,8/13/2020,0.09
Bay County,8/14/2020,0.65
Bay County,8/15/2020,0
Bay County,8/16/2020,0
Bay County,8/17/2020,0
Bay County,8/18/2020,0
Bay County,8/19/2020,0.4
Bay County,8/20/2020,0.32
Bay County,8/21/2020,0.03
Bay County,8/22/2020,0.12
Bay County,8/23/2020,0.14
Bay County,8/24/2020,3.42
Bay County,8/25/2020,0
Bay County,8/26/2020,0
Bay County,8/27/2020,0
Bay County,8/28/2020,0.1
Bay County,8/29/2020,4.5
Bay County,8/30/2020,0.03
Bay County,8/31/2020,0
Bay County,9/1/2020,0
Bay County,9/2/2020,0
Bay County,9/3/2020,0
Bay County,9/4/2020,0
Bay County,9/5/2020,0
Bay County,9/6/2020,0
Bay County,9/7/2020,0
Bay County,9/8/2020,0
Bay County,9/9/2020,0
Bay County,9/10/2020,0.46
Bay County,9/11/2020,0.07
Bay County,9/12/2020,0.11
Bay County,9/13/2020,0.16
Bay County,9/14/2020,1.63
Bay County,9/15/2020,5.4
Bay County,9/16/2020,5.31
Bay County,9/17/2020,0.02
Bay County,9/18/2020,0
Bay County,9/19/2020,0.02
Bay County,9/20/2020,0.1
Bay County,9/21/2020,0
Bay County,9/22/2020,0
Bay County,9/23/2020,0
Bay County,9/24/2020,0.15
Bay County,9/25/2020,0.01
Bay County,9/26/2020,0.01
Bay County,9/27/2020,1.21
Bay County,9/28/2020,0
Bay County,9/29/2020,0.01
Bay County,9/30/2020,0.01
Bay County,10/1/2020,0
Bay County,10/2/2020,0
Bay County,10/3/2020,0
Bay County,10/4/2020,0
Bay County,10/5/2020,0
Bay County,10/6/2020,0
Bay County,10/7/2020,0
Bay County,10/8/2020,0
Bay County,10/9/2020,0
Bay County,10/10/2020,0.15
Bay County,10/11/2020,0
Bay County,10/12/2020,0
Bay County,10/13/2020,0
Bay County,10/14/2020,0
Bay County,10/15/2020,0
Bay County,10/16/2020,0
Bay County,10/17/2020,0
Bay County,10/18/2020,0
Bay County,10/19/2020,0
Bay County,10/20/2020,0
Bay County,10/21/2020,0.08
Bay County,10/22/2020,0.01
Bay County,10/23/2020,0.01
Bay County,10/24/2020,0.5
Bay County,10/25/2020,0
Bay County,10/26/2020,0
Bay County,10/27/2020,1.64
Bay County,10/28/2020,0
Bay County,10/29/2020,1.23
Bay County,10/30/2020,0
Bay County,10/31/2020,0
Bay County,11/1/2020,0
Bay County,11/2/2020,0
Bay County,11/3/2020,0
Bay County,11/4/2020,0
Bay County,11/5/2020,0
Bay County,11/6/2020,0
Bay County,11/7/2020,0
Bay County,11/8/2020,0
Bay County,11/9/2020,0
Bay County,11/10/2020,0.09
Bay County,11/11/2020,0.25
Bay County,11/12/2020,0
Bay County,11/13/2020,0
Bay County,11/14/2020,0
Bay County,11/15/2020,0
Bay County,11/16/2020,0
Bay County,11/17/2020,0
Bay County,11/18/2020,0
Bay County,11/19/2020,0
Bay County,11/20/2020,0
Bay County,11/21/2020,0
Bay County,11/22/2020,0
Bay County,11/23/2020,0
Bay County,11/24/2020,0
Bay County,11/25/2020,0
Bay County,11/26/2020,0
Bay County,11/27/2020,0.16
Bay County,11/28/2020,0.69
Bay County,11/29/2020,1.08
Bay County,11/30/2020,0.03
Bay County,12/1/2020,0
Bay County,12/2/2020,0
Bay County,12/3/2020,0
Bay County,12/4/2020,0.04
Bay County,12/5/2020,0
Bay County,12/6/2020,0
Bay County,12/7/2020,0.09
Bay County,12/8/2020,0
Bay County,12/9/2020,0
Bay County,12/10/2020,0
Bay County,12/11/2020,0
Bay County,12/12/2020,0
Bay County,12/13/2020,0.15
Bay County,12/14/2020,0
Bay County,12/15/2020,0
Bay County,12/16/2020,0.38
Bay County,12/17/2020,0
Bay County,12/18/2020,0
Bay County,12/19/2020,0
Bay County,12/20/2020,1.99
Bay County,12/21/2020,0
Bay County,12/22/2020,0
Bay County,12/23/2020,0
Bay County,12/24/2020,0.71
Bay County,12/25/2020,0
Bay County,12/26/2020,0
Bay County,12/27/2020,0
Bay County,12/28/2020,0
Bay County,12/29/2020,0
Bay County,12/30/2020,0
Bay County,12/31/2020,0.21
Bay County,1/1/2021,1.94
Bay County,1/2/2021,0.51
Bay County,1/3/2021,0
Bay County,1/4/2021,0
Bay County,1/5/2021,0
Bay County,1/6/2021,0
Bay County,1/7/2021,0.5
Bay County,1/8/2021,0
Bay County,1/9/2021,0
Bay County,1/10/2021,0
Bay County,1/11/2021,0.26
Bay County,1/12/2021,0
Bay County,1/13/2021,0
Bay County,1/14/2021,0
Bay County,1/15/2021,0.22
Bay County,1/16/2021,0
Bay County,1/17/2021,0
Bay County,1/18/2021,0
Bay County,1/19/2021,0
Bay County,1/20/2021,0
Bay County,1/21/2021,0
Bay County,1/22/2021,0.23
Bay County,1/23/2021,0
Bay County,1/24/2021,0
Bay County,1/25/2021,0.01
Bay County,1/26/2021,0.89
Bay County,1/27/2021,0.81
Bay County,1/28/2021,0
Bay County,1/29/2021,0
Bay County,1/30/2021,0
Bay County,1/31/2021,0.49
Bay County,2/1/2021,0
Bay County,2/2/2021,0
Bay County,2/3/2021,0
Bay County,2/4/2021,0.03
Bay County,2/5/2021,0.13
Bay County,2/6/2021,0.26
Bay County,2/7/2021,0
Bay County,2/8/2021,0
Bay County,2/9/2021,0.16
Bay County,2/10/2021,0.01
Bay County,2/11/2021,0.69
Bay County,2/12/2021,2.52
Bay County,2/13/2021,0.72
Bay County,2/14/2021,0.51
Bay County,2/15/2021,0.67
Bay County,2/16/2021,0
Bay County,2/17/2021,0
Bay County,2/18/2021,1.24
Bay County,2/19/2021,0.01
Bay County,2/20/2021,0
Bay County,2/21/2021,0
Bay County,2/22/2021,0.24
Bay County,2/23/2021,0
Bay County,2/24/2021,0
Bay County,2/25/2021,0
Bay County,2/26/2021,0
Bay County,2/27/2021,0
Bay County,2/28/2021,0
Bay County,3/1/2021,0.6
Bay County,3/2/2021,0.43
Bay County,3/3/2021,0
Bay County,3/4/2021,0
Bay County,3/5/2021,0
Bay County,3/6/2021,0.3
Bay County,3/7/2021,0
Bay County,3/8/2021,0
Bay County,3/9/2021,0
Bay County,3/10/2021,0
Bay County,3/11/2021,0
Bay County,3/12/2021,0
Bay County,3/13/2021,0
Bay County,3/14/2021,0
Bay County,3/15/2021,0
Bay County,3/16/2021,0
Bay County,3/17/2021,0
Bay County,3/18/2021,0.57
Bay County,3/19/2021,0
Bay County,3/20/2021,0
Bay County,3/21/2021,0
Bay County,3/22/2021,0
Bay County,3/23/2021,0.01
Bay County,3/24/2021,0.37
Bay County,3/25/2021,0
Bay County,3/26/2021,0
Bay County,3/27/2021,0
Bay County,3/28/2021,0
Bay County,3/30/2021,0.16
Bay County,3/31/2021,0.18
Bay County,4/1/2021,0
Bay County,4/2/2021,0
Bay County,4/3/2021,0
Bay County,4/4/2021,0
Bay County,4/5/2021,0
Bay County,4/7/2021,0
Bay County,4/8/2021,0.13
Bay County,4/9/2021,1.1
Bay County,4/10/2021,1.21
Bay County,4/11/2021,0.1
Bay County,4/12/2021,0
Bay County,4/13/2021,0
Bay County,4/14/2021,0.04
Bay County,4/15/2021,0.79
Bay County,4/16/2021,0.61
Bay County,4/17/2021,0.92
Bay County,4/18/2021,0.37
Bay County,4/19/2021,0
Bay County,4/20/2021,0
Bay County,4/21/2021,0
Bay County,4/22/2021,0
Bay County,4/23/2021,0
Bay County,4/24/2021,0.04
Bay County,4/25/2021,0
Bay County,4/26/2021,0
Bay County,4/27/2021,0
Bay County,4/28/2021,0
Bay County,4/29/2021,0
Bay County,4/30/2021,0.12
Bay County,5/1/2021,0
Bay County,5/2/2021,0.01
Bay County,5/3/2021,0
Bay County,5/4/2021,0.52
Bay County,5/5/2021,0.56
Bay County,5/6/2021,0
Bay County,5/7/2021,0
Bay County,5/8/2021,0
Bay County,5/9/2021,0
Bay County,5/10/2021,0.55
Bay County,5/11/2021,0.52
Bay County,5/12/2021,0.05
Bay County,5/13/2021,0.01
Bay County,5/14/2021,0
Bay County,5/15/2021,0
Bay County,5/16/2021,0
Bay County,5/17/2021,0
Bay County,5/18/2021,0
Bay County,5/19/2021,0
Bay County,5/20/2021,0
Bay County,5/21/2021,0
Bay County,5/22/2021,0
Bay County,5/23/2021,0
Bay County,5/24/2021,0
Bay County,5/25/2021,0
Bay County,5/26/2021,0
Bay County,5/27/2021,0
Bay County,5/28/2021,0
Bay County,5/29/2021,0.1
Bay County,5/30/2021,0
Bay County,5/31/2021,0
Bay County,6/1/2021,0
Bay County,6/2/2021,0
Bay County,6/3/2021,0
Bay County,6/4/2021,0
Bay County,6/5/2021,0
Bay County,6/6/2021,0
Bay County,6/7/2021,0.02
Bay County,6/8/2021,0.01
Bay County,6/9/2021,0
Bay County,6/10/2021,0
Bay County,6/11/2021,0
Bay County,6/12/2021,1.7
Bay County,6/13/2021,0.09
Bay County,6/14/2021,0
Bay County,6/15/2021,0.06
Bay County,6/16/2021,0
Bay County,6/17/2021,0
Bay County,6/18/2021,0
Bay County,6/19/2021,3.51
Bay County,6/20/2021,0.22
Bay County,6/21/2021,0.49
Bay County,6/22/2021,2.71
Bay County,6/23/2021,0.19
Bay County,6/24/2021,1.22
Bay County,6/25/2021,1.39
Bay County,6/26/2021,0.25
Bay County,6/27/2021,0.54
Bay County,6/28/2021,0
Bay County,6/29/2021,0.3
Bay County,6/30/2021,0.03
Bay County,7/1/2021,0.03
Bay County,7/2/2021,0.85
Bay County,7/3/2021,0.01
Bay County,7/4/2021,0.04
Bay County,7/5/2021,1.4
Bay County,7/6/2021,1.17
Bay County,7/7/2021,0
Bay County,7/8/2021,0
Bay County,7/9/2021,0.01
Bay County,7/10/2021,0
Bay County,7/11/2021,0.67
Bay County,7/12/2021,0.59
Bay County,7/13/2021,0.02
Bay County,7/14/2021,0.22
Bay County,7/15/2021,0.41
Bay County,7/16/2021,0
Bay County,7/17/2021,0
Bay County,7/18/2021,0.03
